_timestamp,cpu_times.user,cpu_times.system,cpu_times.idle,cpu_times.interrupt,cpu_times.dpc,cpu_stats.ctx_switches,cpu_stats.interrupts,cpu_stats.soft_interrupts,cpu_stats.syscalls,cpu_load.load_1m,cpu_load.load_5m,cpu_load.load_15m,swap.total,swap.used,swap.free,swap.percent,swap.sin,swap.sout,virtual.total,virtual.available,virtual.percent,virtual.used,virtual.free,disk.total,disk.used,disk.free,disk.percent,disk_io.read_count,disk_io.write_count,disk_io.read_bytes,disk_io.write_bytes,disk_io.read_time,disk_io.write_time,net_io.bytes_sent,net_io.bytes_recv,net_io.packets_sent,net_io.packets_recv,net_io.errin,net_io.errout,net_io.dropin,net_io.dropout
1728232807.5654693,5220.03125,3550.5625,447871.515625,260.796875,157.3125,197293163,99908755,0,860402695,0.0,0.0,0.0,22548578304,6713782272,15834796032,29.8,0,0,16832106496,6115504128,63.7,10716602368,6115504128,694134239232,398564290560,295569948672,57.4,1416611,616764,25890687488,13419781120,984,269,1779820,698895,16898,7701,0,0,0,0
1728232808.5661895,5220.40625,3550.90625,447882.78125,260.796875,157.3125,197322067,99924609,0,860522828,0.0,0.0,0.0,22548578304,6725713920,15822864384,29.8,0,0,16832106496,6024228864,64.2,10807877632,6024228864,694134239232,398565535744,295568703488,57.4,1416616,616792,25891736064,13422492672,984,269,1781418,699743,16904,7707,0,0,0,0
1728232809.5771885,5221.046875,3551.6875,447893.515625,260.796875,157.34375,197352446,99945108,0,860626314,0.0,0.0,0.0,22548578304,6737281024,15811297280,29.9,0,0,16832106496,6146371584,63.5,10685734912,6146371584,694134239232,398566584320,295567654912,57.4,1416620,616814,25892096512,13424598016,984,270,1788569,701316,16918,7719,0,0,0,0
1728232810.5785654,5223.0,3553.875,447901.46875,260.859375,157.359375,197381394,99961643,0,860771886,0.0,0.0,0.0,22548578304,6755151872,15793426432,30.0,0,0,16832106496,6048256000,64.1,10783850496,6048256000,694134239232,398567305216,295566934016,57.4,1416620,616816,25892096512,13424651264,984,270,1795821,702554,16935,7732,0,0,0,0
1728232811.588563,5224.46875,3554.65625,447911.8125,260.890625,157.359375,197409593,99976085,0,860922976,0.0,0.0,0.0,22548578304,6737973248,15810605056,29.9,0,0,16832106496,6068994048,63.9,10763112448,6068994048,694134239232,398569934848,295564304384,57.4,1416626,616844,25893243392,13427706880,984,270,1799681,704114,16956,7754,0,0,0,0
1728232812.6127908,5234.671875,3557.1875,447911.8125,261.0625,157.40625,197443219,99995217,0,861075963,1.52,0.31,0.11,22548578304,6752489472,15796088832,29.9,0,0,16832106496,5996158976,64.4,10835947520,5996158976,694134239232,398570332160,295563907072,57.4,1416628,616867,25893472768,13429423104,984,270,1803481,706512,16976,7776,0,0,0,0
1728232813.6219234,5243.78125,3558.84375,447912.40625,261.125,157.46875,197463074,100005380,0,861186019,1.52,0.31,0.11,22548578304,6750556160,15798022144,29.9,0,0,16832106496,6097215488,63.8,10734891008,6097215488,694134239232,398571118592,295563120640,57.4,1416629,616882,25893702144,13431438336,984,270,1809295,707701,16989,7786,0,0,0,0
1728232814.6227005,5245.296875,3559.609375,447921.78125,261.140625,157.46875,197490100,100019187,0,861309959,1.52,0.31,0.11,22548578304,6726643712,15821934592,29.8,0,0,16832106496,6039408640,64.1,10792697856,6039408640,694134239232,398572232704,295562006528,57.4,1416629,616883,25893702144,13431446528,984,270,1813511,709843,17015,7811,0,0,0,0
1728232815.6234727,5245.859375,3560.09375,447932.859375,261.15625,157.484375,197513753,100032008,0,861389325,1.52,0.31,0.11,22548578304,6722195456,15826382848,29.8,0,0,16832106496,6148124672,63.5,10683981824,6148124672,694134239232,398573219840,295561019392,57.4,1416633,616906,25894078976,13433392128,984,270,1816123,712207,17036,7838,0,0,0,0
1728232816.6248882,5246.109375,3560.28125,447944.5,261.203125,157.484375,197542533,100048212,0,861465430,1.52,0.31,0.11,22548578304,6737997824,15810580480,29.9,0,0,16832106496,5981483008,64.5,10850623488,5981483008,694134239232,398574071808,295560167424,57.4,1416641,616949,25894930944,13436906496,984,270,1817311,713179,17054,7856,0,0,0,0
