_timestamp,cpu_times.user,cpu_times.system,cpu_times.idle,cpu_times.interrupt,cpu_times.dpc,cpu_stats.ctx_switches,cpu_stats.interrupts,cpu_stats.soft_interrupts,cpu_stats.syscalls,cpu_load.load_1m,cpu_load.load_5m,cpu_load.load_15m,swap.total,swap.used,swap.free,swap.percent,swap.sin,swap.sout,virtual.total,virtual.available,virtual.percent,virtual.used,virtual.free,disk.total,disk.used,disk.free,disk.percent,disk_io.read_count,disk_io.write_count,disk_io.read_bytes,disk_io.write_bytes,disk_io.read_time,disk_io.write_time,net_io.bytes_sent,net_io.bytes_recv,net_io.packets_sent,net_io.packets_recv,net_io.errin,net_io.errout,net_io.dropin,net_io.dropout
1728249310.731707,6117.640625,4181.624999999884,644380.71875,312.703125,203.453125,224626248,114241064,0,1089431426,0.0,0.0,0.0,22548578304,2060959744,20487618560,9.1,0,0,16832106496,8383692800,50.2,8448413696,8383692800,694134239232,390078201856,304056037376,56.2,1583853,752384,28245107712,17075008512,1050,343,12299403,8810405,19334,15831,0,0,0,0
1728249311.7324255,6118.171875,4182.234374999884,644391.609375,312.765625,203.453125,224641949,114265328,0,1089626129,0.0,0.0,0.0,22548578304,2050654208,20497924096,9.1,0,0,16832106496,8374546432,50.2,8457560064,8374546432,694134239232,390078943232,304055296000,56.2,1583887,752558,28250858496,17079432192,1050,344,12302525,8815472,19346,15840,0,0,0,0
1728249312.7337403,6118.796875,4183.109374999884,644402.203125,312.78125,203.46875,224658075,114275625,0,1089866967,0.0,0.0,0.0,22548578304,2054107136,20494471168,9.1,0,0,16832106496,8372723712,50.3,8459382784,8372723712,694134239232,390080847872,304053391360,56.2,1583907,752805,28251530240,17083286528,1050,344,12303718,8820539,19359,15851,0,0,0,0
1728249313.7341263,6119.328125,4183.343749999884,644413.375,312.828125,203.46875,224670383,114282810,0,1089978516,0.0,0.0,0.0,22548578304,2050469888,20498108416,9.1,0,0,16832106496,8374890496,50.2,8457216000,8374890496,694134239232,390082912256,304051326976,56.2,1583919,752914,28252341248,17086551040,1050,344,12323774,8856525,19417,15907,0,0,0,0
1728249314.7350743,6119.6875,4183.562499999884,644424.796875,312.828125,203.484375,224683712,114289997,0,1090120920,0.0,0.0,0.0,22548578304,2060181504,20488396800,9.1,0,0,16832106496,8374280192,50.2,8457826304,8374280192,694134239232,390082981888,304051257344,56.2,1583923,752948,28252440064,17086875136,1050,344,12345162,8921864,19490,15985,0,0,0,0
1728249315.7361896,6119.90625,4183.734374999884,644436.46875,312.84375,203.484375,224698154,114298763,0,1090230552,0.0,0.0,0.0,22548578304,2063634432,20484943872,9.2,0,0,16832106496,8375975936,50.2,8456130560,8375975936,694134239232,390084747264,304049491968,56.2,1583934,753037,28253607424,17090270720,1050,344,12391761,10673447,20040,17170,0,0,0,0
1728249316.7369838,6120.421875,4183.999999999884,644447.78125,312.84375,203.484375,224714475,114307794,0,1090486358,0.08,0.02,0.01,22548578304,2065702912,20482875392,9.2,0,0,16832106496,8375697408,50.2,8456409088,8375697408,694134239232,390090600448,304043638784,56.2,1583968,753279,28260210688,17100126208,1050,344,12406564,11402552,20259,17660,0,0,0,0
1728249317.737555,6120.84375,4184.171874999884,644459.203125,312.84375,203.484375,224727815,114316151,0,1090754106,0.08,0.02,0.01,22548578304,2078134272,20470444032,9.2,0,0,16832106496,8364978176,50.3,8467128320,8364978176,694134239232,390103932928,304030306304,56.2,1584012,753628,28262340608,17115695104,1050,344,12419902,11409262,20274,17683,0,0,0,0
1728249318.7385113,6121.046875,4184.281249999884,644470.890625,312.84375,203.484375,224739259,114419983,0,1090908516,0.08,0.02,0.01,22548578304,2182176768,20366401536,9.7,0,0,16832106496,8211824640,51.2,8620281856,8211824640,694134239232,390112972800,304021266432,56.2,1584047,753784,28283451392,17157339136,1051,344,12422871,11418716,20286,17696,0,0,0,0
1728249319.7390463,6121.234375,4184.656249999884,644482.25,312.84375,203.484375,224750108,114433644,0,1091134811,0.08,0.02,0.01,22548578304,2148700160,20399878144,9.5,0,0,16832106496,8070111232,52.1,8761995264,8070111232,694134239232,390113906688,304020332544,56.2,1584055,753889,28284155904,17168812032,1051,344,12432828,11426437,20292,17709,0,0,0,0
1728249320.739434,6121.46875,4184.734374999884,644493.875,312.84375,203.484375,224760753,114456987,0,1091306114,0.08,0.02,0.01,22548578304,2107494400,20441083904,9.3,0,0,16832106496,7810904064,53.6,9021202432,7810904064,694134239232,390140223488,303994015744,56.2,1584084,754028,28287391744,17196775424,1051,344,12432828,11426437,20292,17709,0,0,0,0
1728249321.740494,6121.671875,4184.984374999884,644505.5625,312.859375,203.484375,224770985,114463404,0,1091539066,0.07,0.02,0.01,22548578304,2054168576,20494409728,9.1,0,0,16832106496,7906119680,53.0,8925986816,7906119680,694134239232,390141636608,303992602624,56.2,1584088,754084,28287465472,17202874368,1051,344,12443489,11433949,20298,17718,0,0,0,0
1728249322.7420235,6121.84375,4185.562499999884,644516.796875,312.90625,203.484375,224788184,114475400,0,1091769231,0.07,0.02,0.01,22548578304,2037317632,20511260672,9.0,0,0,16832106496,8116322304,51.8,8715784192,8116322304,694134239232,390299938816,303834300416,56.2,1584148,754962,28291512320,17411463168,1051,344,12445689,11436027,20302,17724,0,0,0,0
1728249323.7431111,6122.40625,4186.203124999884,644527.5625,312.90625,203.515625,224814407,114490108,0,1091910618,0.07,0.02,0.01,22548578304,1842462720,20706115584,8.2,0,0,16832106496,8156975104,51.5,8675131392,8156975104,694134239232,390150643712,303983595520,56.2,1584164,755125,28291795456,17414892032,1051,344,12458499,11439359,20307,17731,0,0,0,0
1728249324.7467985,6123.03125,4186.359374999884,644538.8125,312.90625,203.53125,224828565,114498552,0,1092085567,0.07,0.02,0.01,22548578304,1881960448,20666617856,8.3,0,0,16832106496,8208572416,51.2,8623534080,8208572416,694134239232,390102499328,304031739904,56.2,1584167,755187,28291979776,17416698368,1051,344,12459259,11448046,20314,17738,0,0,0,0
1728249325.748352,6123.609375,4186.515624999884,644550.125,312.90625,203.546875,224838006,114504589,0,1092231940,0.07,0.02,0.01,22548578304,1879314432,20669263872,8.3,0,0,16832106496,8200777728,51.3,8631328768,8200777728,694134239232,390103560192,304030679040,56.2,1584169,755204,28292016640,17416849920,1051,344,12472555,11449299,20325,17752,0,0,0,0
1728249326.7487173,6124.328125,4186.624999999884,644561.34375,312.9375,203.546875,224848001,114510795,0,1092389263,0.07,0.02,0.01,22548578304,1882574848,20666003456,8.3,0,0,16832106496,8200974336,51.3,8631132160,8200974336,694134239232,390108119040,304026120192,56.2,1584172,755300,28292114944,17419180544,1051,344,12487627,11465689,20335,17769,0,0,0,0
