_timestamp,cpu_times.user,cpu_times.system,cpu_times.idle,cpu_times.interrupt,cpu_times.dpc,cpu_stats.ctx_switches,cpu_stats.interrupts,cpu_stats.soft_interrupts,cpu_stats.syscalls,cpu_load.load_1m,cpu_load.load_5m,cpu_load.load_15m,swap.total,swap.used,swap.free,swap.percent,swap.sin,swap.sout,virtual.total,virtual.available,virtual.percent,virtual.used,virtual.free,disk.total,disk.used,disk.free,disk.percent,disk_io.read_count,disk_io.write_count,disk_io.read_bytes,disk_io.write_bytes,disk_io.read_time,disk_io.write_time,net_io.bytes_sent,net_io.bytes_recv,net_io.packets_sent,net_io.packets_recv,net_io.errin,net_io.errout,net_io.dropin,net_io.dropout
1723919584.0106912,19498.484375,12952.4375,2672031.0,948.90625,814.765625,1071815226,570805153,0,4255053730,1.28,0.32,0.11,28991029248,10417127424,18573901824,35.9,0,0,16832106496,3788652544,77.5,13043453952,3788652544,1023000178688,663597637632,359402541056,64.9,11417347,3184242,179999429120,135146299392,11238,1612,25750378,106093755,135827,130078,0,0,0,0
1723919585.0139954,19499.1875,12952.828125,2672041.9375,948.9375,814.78125,1071830518,570810055,0,4255122930,1.28,0.32,0.11,28991029248,10405994496,18585034752,35.9,0,0,16832106496,3788943360,77.5,13043163136,3788943360,1023000178688,663596593152,359403585536,64.9,11417353,3184263,179999715840,135146483712,11238,1612,25757206,106095468,135834,130090,0,0,0,0
1723919586.0206413,19499.53125,12953.25,2672053.296875,948.953125,814.78125,1071849275,570817086,0,4255197245,1.28,0.32,0.11,28991029248,10413830144,18577199104,35.9,0,0,16832106496,3793670144,77.5,13038436352,3793670144,1023000178688,663597031424,359403147264,64.9,11417356,3184337,179999838720,135147225088,11238,1612,25762599,106102154,135845,130105,0,0,0,0
1723919587.032517,19499.78125,12953.578125,2672064.75,949.015625,814.796875,1071863896,570821439,0,4255248407,1.28,0.32,0.11,28991029248,10409463808,18581565440,35.9,0,0,16832106496,3789545472,77.5,13042561024,3789545472,1023000178688,663597154304,359403024384,64.9,11417359,3184356,179999875584,135147446272,11238,1612,25780945,106114134,135863,130122,0,0,0,0
1723919588.036768,19500.1875,12953.890625,2672076.34375,949.046875,814.796875,1071887713,570830029,0,4255333164,1.28,0.32,0.11,28991029248,10416791552,18574237696,35.9,0,0,16832106496,3772731392,77.6,13059375104,3772731392,1023000178688,663597240320,359402938368,64.9,11417360,3184376,179999941120,135147630592,11238,1612,25787136,106115323,135874,130132,0,0,0,0
1723919589.0428033,19500.453125,12954.3125,2672087.5,949.0625,814.8125,1071905679,570836455,0,4255422494,1.18,0.31,0.11,28991029248,10408095744,18582933504,35.9,0,0,16832106496,3790082048,77.5,13042024448,3790082048,1023000178688,663597502464,359402676224,64.9,11417360,3184390,179999941120,135147728896,11238,1612,25789662,106122755,135879,130140,0,0,0,0
1723919590.0435476,19500.84375,12954.890625,2672098.546875,949.078125,814.8125,1071921286,570841162,0,4255533562,1.18,0.31,0.11,28991029248,10408742912,18582286336,35.9,0,0,16832106496,3789123584,77.5,13042982912,3789123584,1023000178688,663597928448,359402250240,64.9,11417362,3184436,179999973888,135148277760,11238,1612,25796037,106122971,135881,130144,0,0,0,0
1723919591.0437305,19501.515625,12955.546875,2672109.359375,949.078125,814.828125,1071965443,570860860,0,4255656632,1.18,0.31,0.11,28991029248,10480553984,18510475264,36.2,0,0,16832106496,3805179904,77.4,13026926592,3805179904,1023000178688,663598055424,359402123264,64.9,11417366,3184526,180000055808,135150116864,11238,1612,25807626,106134552,135892,130161,0,0,0,0
1723919592.0501952,19501.828125,12955.921875,2672120.859375,949.078125,814.828125,1071977887,570899686,0,4255696909,1.18,0.31,0.11,28991029248,10497597440,18493431808,36.2,0,0,16832106496,3620777984,78.5,13211328512,3620777984,1023000178688,663598186496,359401992192,64.9,11417369,3184541,180000776704,135151751168,11238,1612,25812941,106140884,135905,130176,0,0,0,0
1723919593.054557,19502.28125,12956.5,2672131.796875,949.078125,814.84375,1071994255,570910447,0,4255758783,1.18,0.31,0.11,28991029248,10456678400,18534350848,36.1,0,0,16832106496,3791147008,77.5,13040959488,3791147008,1023000178688,663598157824,359402020864,64.9,11417369,3184566,180000776704,135151972352,11238,1612,25820661,106141185,135909,130180,0,0,0,0
1723919594.0580819,19502.90625,12956.859375,2672142.84375,949.078125,814.84375,1072014919,570929084,0,4255844374,1.09,0.31,0.11,28991029248,10489864192,18501165056,36.2,0,0,16832106496,3589865472,78.7,13242241024,3589865472,1023000178688,663597142016,359403036672,64.9,11417373,3184623,180000842240,135152599040,11238,1612,25833493,106151737,135917,130192,0,0,0,0
1723919595.0587063,19503.328125,12957.328125,2672153.90625,949.078125,814.84375,1072029399,570956241,0,4255897693,1.09,0.31,0.11,28991029248,10463047680,18527981568,36.1,0,0,16832106496,3839373312,77.2,12992733184,3839373312,1023000178688,663597174784,359403003904,64.9,11417373,3184630,180000842240,135152766976,11238,1612,25833630,106156265,135919,130200,0,0,0,0
1723919596.065252,19503.484375,12957.515625,2672165.625,949.078125,814.84375,1072039267,570958597,0,4255931464,1.09,0.31,0.11,28991029248,10468712448,18522316800,36.1,0,0,16832106496,3840114688,77.2,12991991808,3840114688,1023000178688,663597248512,359402930176,64.9,11417374,3184665,180000875008,135153717248,11238,1612,25845457,106160495,135927,130210,0,0,0,0
1723919597.0689244,19503.890625,12957.828125,2672177.078125,949.09375,814.859375,1072061111,570964158,0,4256017205,1.09,0.31,0.11,28991029248,10461958144,18529071104,36.1,0,0,16832106496,3777880064,77.6,13054226432,3777880064,1023000178688,663597486080,359402692608,64.9,11417375,3184686,180000907776,135153872896,11238,1612,25848915,106168766,135939,130233,0,0,0,0
1723919598.06939,19504.078125,12958.046875,2672188.375,949.09375,814.875,1072072871,570968126,0,4256067564,1.09,0.31,0.11,28991029248,10460741632,18530287616,36.1,0,0,16832106496,3820806144,77.3,13011300352,3820806144,1023000178688,663597490176,359402688512,64.9,11417377,3184722,180000956928,135154229248,11238,1612,25875357,106175167,135962,130260,0,0,0,0
1723919599.079387,19504.328125,12958.265625,2672200.265625,949.109375,814.875,1072081903,570971048,0,4256116772,1.0,0.3,0.11,28991029248,10470477824,18520551424,36.1,0,0,16832106496,3817951232,77.3,13014155264,3817951232,1023000178688,663597604864,359402573824,64.9,11417377,3184766,180000956928,135154577408,11238,1612,25889332,106194789,135985,130290,0,0,0,0
1723919600.0873098,19506.328125,12959.53125,2672208.96875,949.109375,814.875,1072111833,570985905,0,4256309748,1.0,0.3,0.11,28991029248,10478592000,18512437248,36.1,0,0,16832106496,3687743488,78.1,13144363008,3687743488,1023000178688,663597801472,359402377216,64.9,11417378,3184775,180000989696,135154696192,11238,1612,25891806,106199143,135988,130295,0,0,0,0
1723919601.089896,19506.65625,12959.90625,2672220.359375,949.140625,814.875,1072131128,570992107,0,4256384259,1.0,0.3,0.11,28991029248,10440667136,18550362112,36.0,0,0,16832106496,3838636032,77.2,12993470464,3838636032,1023000178688,663597830144,359402348544,64.9,11417378,3184809,180000989696,135155089408,11238,1612,25904512,106203291,135993,130305,0,0,0,0
