_timestamp,cpu_times.user,cpu_times.system,cpu_times.idle,cpu_times.interrupt,cpu_times.dpc,cpu_stats.ctx_switches,cpu_stats.interrupts,cpu_stats.soft_interrupts,cpu_stats.syscalls,cpu_load.load_1m,cpu_load.load_5m,cpu_load.load_15m,swap.total,swap.used,swap.free,swap.percent,swap.sin,swap.sout,virtual.total,virtual.available,virtual.percent,virtual.used,virtual.free,disk.total,disk.used,disk.free,disk.percent,disk_io.read_count,disk_io.write_count,disk_io.read_bytes,disk_io.write_bytes,disk_io.read_time,disk_io.write_time,net_io.bytes_sent,net_io.bytes_recv,net_io.packets_sent,net_io.packets_recv,net_io.errin,net_io.errout,net_io.dropin,net_io.dropout
1723899333.4093027,15952.437499999998,10530.5625,2434991.734375,801.40625,743.765625,872135711,497431793,0,3560416178,0.48,0.27,0.12,28991029248,11298611200,17692418048,39.0,0,0,16832106496,2326458368,86.2,14505648128,2326458368,1023000178688,663623507968,359376670720,64.9,10772594,2874953,169542748672,125208083456,10949,1500,31941672,550264437,232004,435151,0,0,0,0
1723899334.4127152,15952.609374999998,10530.734375,2435003.40625,801.40625,743.78125,872151861,497440285,0,3560501222,0.48,0.27,0.12,28991029248,11298091008,17692938240,39.0,0,0,16832106496,2327957504,86.2,14504148992,2327957504,1023000178688,663623577600,359376601088,64.9,10772626,2874968,169542941184,125208177664,10949,1500,31941797,550265070,232006,435154,0,0,0,0
1723899335.4202647,15953.437499999998,10531.21875,2435014.421875,801.453125,743.796875,872174136,497453152,0,3560622086,0.48,0.27,0.12,28991029248,11267371008,17723658240,38.9,0,0,16832106496,2474893312,85.3,14357213184,2474893312,1023000178688,663623426048,359376752640,64.9,10772951,2875115,169548467712,125213166592,10949,1500,31949591,550267049,232028,435169,0,0,0,0
1723899336.427879,15953.656249999998,10531.5625,2435025.84375,801.46875,743.796875,872196234,497461845,0,3560724446,0.44,0.27,0.12,28991029248,11269799936,17721229312,38.9,0,0,16832106496,2482712576,85.3,14349393920,2482712576,1023000178688,663623667712,359376510976,64.9,10772951,2875178,169548467712,125214075904,10949,1500,31958224,550277969,232046,435187,0,0,0,0
1723899337.4334588,15954.249999999998,10532.0,2435036.859375,801.5,743.8125,872234885,497483814,0,3560888251,0.44,0.27,0.12,28991029248,11274813440,17716215808,38.9,0,0,16832106496,2484559872,85.2,14347546624,2484559872,1023000178688,663622422528,359377756160,64.9,10773112,2875224,169549291008,125214510080,10949,1500,31969430,550285806,232062,435202,0,0,0,0
1723899338.436873,15954.359374999998,10532.515625,2435048.21875,801.5,743.8125,872247569,497493938,0,3560936085,0.44,0.27,0.12,28991029248,11291369472,17699659776,38.9,0,0,16832106496,2507522048,85.1,14324584448,2507522048,1023000178688,663622619136,359377559552,64.9,10773113,2875249,169549307392,125214895104,10949,1500,31974394,550301872,232084,435228,0,0,0,0
1723899339.4395082,15954.890624999998,10532.703125,2435059.453125,801.5,743.8125,872280094,497510801,0,3561041903,0.44,0.27,0.12,28991029248,11278381056,17712648192,38.9,0,0,16832106496,2519015424,85.0,14313091072,2519015424,1023000178688,663622639616,359377539072,64.9,10773242,2875325,169550003712,125217373184,10949,1500,31983595,550306388,232093,435237,0,0,0,0
1723899340.4419372,15955.046874999998,10532.78125,2435071.265625,801.515625,743.8125,872302929,497521186,0,3561144654,0.44,0.27,0.12,28991029248,11271319552,17719709696,38.9,0,0,16832106496,2519404544,85.0,14312701952,2519404544,1023000178688,663622737920,359377440768,64.9,10773247,2875353,169550773760,125219068928,10949,1500,31983774,550310936,232096,435245,0,0,0,0
1723899341.451995,15955.281249999998,10532.859375,2435083.25,801.515625,743.8125,872324649,497532312,0,3561246994,0.41,0.27,0.12,28991029248,11277959168,17713070080,38.9,0,0,16832106496,2517913600,85.0,14314192896,2517913600,1023000178688,663622782976,359377395712,64.9,10773433,2875395,169551597056,125219351552,10949,1500,31993443,550314295,232101,435253,0,0,0,0
1723899342.4656963,15955.312499999998,10533.078125,2435094.953125,801.5625,743.8125,872366695,497551730,0,3561373784,0.41,0.27,0.12,28991029248,11267833856,17723195392,38.9,0,0,16832106496,2530750464,85.0,14301356032,2530750464,1023000178688,663622778880,359377399808,64.9,10773435,2875426,169551728128,125221067776,10949,1500,31993497,550318561,232102,435257,0,0,0,0
